"Order ID,Order Date,Customer ID,Product ID,Quantity,Customer Name,Email,Country,Coffee Type,Coffe Type Name ,Roast Type,Roast Type Name ,Size,Unit Price,Sales,Loyalty Card"
"TDZ-59011-211,13-Jun-19,57611-05522-ST,R-D-2.5,4,Pall Redford,predfordi@ow.ly,Ireland,Rob,Robusta,D,Dark,2.50,$20.59,$82.34,Yes"
"IDU-25793-399,04-Dec-20,76664-37050-DT,A-M-0.2,5,Aurea Corradino,acorradinoj@harvard.edu,United States,Ara,Arabica,M,Medium,0.20,$3.38,$16.88,Yes"
"IDU-25793-399,04-Dec-20,76664-37050-DT,E-D-0.2,4,Aurea Corradino,acorradinoj@harvard.edu,United States,Exc,Excelsa,D,Dark,0.20,$3.65,$14.58,Yes"
"NUO-20013-488,04-Dec-20,03090-88267-BQ,A-D-0.2,6,Avrit Davidowsky,adavidowskyl@netvibes.com,United States,Ara,Arabica,D,Dark,0.20,$2.99,$17.91,No"
"UQU-65630-479,22-Jan-21,37651-47492-NC,R-M-2.5,4,Annabel Antuk,aantukm@kickstarter.com,United States,Rob,Robusta,M,Medium,2.50,$22.89,$91.54,Yes"
"FEO-11834-332,11-Feb-22,95399-57205-HI,A-D-0.2,4,Iorgo Kleinert,ikleinertn@timesonline.co.uk,United States,Ara,Arabica,D,Dark,0.20,$2.99,$11.94,Yes"
"TKY-71558-096,15-Sep-21,24010-66714-HW,A-M-1,1,Chrisy Blofeld,cblofeldo@amazon.co.uk,United States,Ara,Arabica,M,Medium,1.00,$11.25,$11.25,No"
"OXY-65322-253,24-Oct-20,07591-92789-UA,E-M-0.2,3,Culley Farris,,United States,Exc,Excelsa,M,Medium,0.20,$4.13,$12.38,Yes"
"EVP-43500-491,20-Feb-19,49231-44455-IC,A-M-0.5,4,Selene Shales,sshalesq@umich.edu,United States,Ara,Arabica,M,Medium,0.50,$6.75,$27.00,Yes"
"WAG-26945-689,08-Oct-19,50124-88608-EO,A-M-0.2,5,Vivie Danneil,vdanneilr@mtv.com,Ireland,Ara,Arabica,M,Medium,0.20,$3.38,$16.88,No"
"CHE-78995-767,02-Aug-22,00888-74814-UZ,A-D-0.5,3,Theresita Newbury,tnewburys@usda.gov,Ireland,Ara,Arabica,D,Dark,0.50,$5.97,$17.91,No"
"RYZ-14633-602,20-Feb-19,14158-30713-OB,A-D-1,4,Mozelle Calcutt,mcalcuttt@baidu.com,Ireland,Ara,Arabica,D,Dark,1.00,$9.95,$39.80,Yes"
"WOQ-36015-429,25-Sep-21,51427-89175-QJ,L-M-0.2,5,Adrian Swaine,,United States,Lib,Liberica,M,Medium,0.20,$4.37,$21.83,No"
"WOQ-36015-429,25-Sep-21,51427-89175-QJ,A-D-0.5,6,Adrian Swaine,,United States,Ara,Arabica,D,Dark,0.50,$5.97,$35.82,No"
"WOQ-36015-429,25-Sep-21,51427-89175-QJ,L-M-0.5,6,Adrian Swaine,,United States,Lib,Liberica,M,Medium,0.50,$8.73,$52.38,No"
"SCT-60553-454,17-Jul-21,39123-12846-YJ,L-L-0.2,5,Gallard Gatheral,ggatheralx@123-reg.co.uk,United States,Lib,Liberica,L,Light,0.20,$4.76,$23.78,No"
"GFK-52063-244,29-Jun-20,44981-99666-XB,L-L-0.5,6,Una Welberry,uwelberryy@ebay.co.uk,United Kingdom,Lib,Liberica,L,Light,0.50,$9.51,$57.06,Yes"
"AMM-79521-378,01-Jun-21,24825-51803-CQ,A-D-0.5,6,Faber Eilhart,feilhartz@who.int,United States,Ara,Arabica,D,Dark,0.50,$5.97,$35.82,No"
"QUQ-90580-772,06-Feb-21,77634-13918-GJ,L-M-0.2,2,Zorina Ponting,zponting10@altervista.org,United States,Lib,Liberica,M,Medium,0.20,$4.37,$8.73,No"
"LGD-24408-274,25-Apr-19,13694-25001-LX,L-L-0.5,3,Silvio Strase,sstrase11@booking.com,United States,Lib,Liberica,L,Light,0.50,$9.51,$28.53,No"
"HCT-95608-959,25-Apr-20,08523-01791-TI,R-M-2.5,5,Dorie de la Tremoille,dde12@unesco.org,United States,Rob,Robusta,M,Medium,2.50,$22.89,$114.43,No"
"OFX-99147-470,24-Nov-21,49860-68865-AB,R-M-1,6,Hy Zanetto,,United States,Rob,Robusta,M,Medium,1.00,$9.95,$59.70,Yes"
"LUO-37559-016,19-Apr-21,21240-83132-SP,L-M-1,3,Jessica McNess,,United States,Lib,Liberica,M,Medium,1.00,$14.55,$43.65,No"
"XWC-20610-167,07-Jul-22,08350-81623-TF,E-D-0.2,2,Lorenzo Yeoland,lyeoland15@pbs.org,United States,Exc,Excelsa,D,Dark,0.20,$3.65,$7.29,Yes"
"GPU-79113-136,22-May-19,73284-01385-SJ,R-D-0.2,3,Abigail Tolworthy,atolworthy16@toplist.cz,United States,Rob,Robusta,D,Dark,0.20,$2.69,$8.06,Yes"
"ULR-52653-960,04-Oct-21,04152-34436-IE,L-L-2.5,2,Maurie Bartol,,United States,Lib,Liberica,L,Light,2.50,$36.46,$72.91,No"
"HPI-42308-142,11-Apr-20,06631-86965-XP,E-M-0.5,2,Olag Baudassi,obaudassi18@seesaa.net,United States,Exc,Excelsa,M,Medium,0.50,$8.25,$16.50,Yes"
"XHI-30227-581,31-Jan-22,54619-08558-ZU,L-D-2.5,6,Petey Kingsbury,pkingsbury19@comcast.net,United States,Lib,Liberica,D,Dark,2.50,$29.79,$178.71,No"
"DJH-05202-380,07-Nov-19,85589-17020-CX,E-M-2.5,2,Donna Baskeyfied,,United States,Exc,Excelsa,M,Medium,2.50,$31.63,$63.25,Yes"
"VMW-26889-781,28-Jun-19,36078-91009-WU,A-L-0.2,2,Arda Curley,acurley1b@hao123.com,United States,Ara,Arabica,L,Light,0.20,$3.89,$7.77,Yes"
"DBU-81099-586,11-Sep-20,15770-27099-GX,A-D-2.5,4,Raynor McGilvary,rmcgilvary1c@tamu.edu,United States,Ara,Arabica,D,Dark,2.50,$22.89,$91.54,No"
"PQA-54820-810,17-Aug-22,91460-04823-BX,A-L-1,3,Isis Pikett,ipikett1d@xinhuanet.com,United States,Ara,Arabica,L,Light,1.00,$12.95,$38.85,No"
"XKB-41924-202,19-Aug-22,45089-52817-WN,L-D-0.5,2,Inger Bouldon,ibouldon1e@gizmodo.com,United States,Lib,Liberica,D,Dark,0.50,$7.77,$15.54,No"
"DWZ-69106-473,15-May-19,76447-50326-IC,L-L-2.5,4,Karry Flanders,kflanders1f@over-blog.com,Ireland,Lib,Liberica,L,Light,2.50,$36.46,$145.82,Yes"
"YHV-68700-050,11-Sep-19,26333-67911-OL,R-M-0.5,5,Hartley Mattioli,hmattioli1g@webmd.com,United Kingdom,Rob,Robusta,M,Medium,0.50,$5.97,$29.85,No"
"YHV-68700-050,11-Sep-19,26333-67911-OL,L-L-2.5,2,Hartley Mattioli,hmattioli1g@webmd.com,United Kingdom,Lib,Liberica,L,Light,2.50,$36.46,$72.91,No"
"KRB-88066-642,16-Mar-21,22107-86640-SB,L-M-1,5,Archambault Gillard,agillard1i@issuu.com,United States,Lib,Liberica,M,Medium,1.00,$14.55,$72.75,No"
"LQU-08404-173,03-Dec-20,09960-34242-LZ,L-L-1,3,Salomo Cushworth,,United States,Lib,Liberica,L,Light,1.00,$15.85,$47.55,No"
"CWK-60159-881,27-Jan-20,04671-85591-RT,E-D-0.2,3,Theda Grizard,tgrizard1k@odnoklassniki.ru,United States,Exc,Excelsa,D,Dark,0.20,$3.65,$10.94,Yes"
"EEG-74197-843,17-Jul-22,25729-68859-UA,E-L-1,4,Rozele Relton,rrelton1l@stanford.edu,United States,Exc,Excelsa,L,Light,1.00,$14.85,$59.40,No"
"UCZ-59708-525,04-Mar-22,05501-86351-NX,L-D-2.5,3,Willa Rolling,,United States,Lib,Liberica,D,Dark,2.50,$29.79,$89.36,Yes"
"HUB-47311-849,07-Dec-21,04521-04300-OK,L-M-0.5,3,Stanislaus Gilroy,sgilroy1n@eepurl.com,United States,Lib,Liberica,M,Medium,0.50,$8.73,$26.19,Yes"
"WYM-17686-694,25-Feb-21,58689-55264-VK,A-D-2.5,5,Correy Cottingham,ccottingham1o@wikipedia.org,United States,Ara,Arabica,D,Dark,2.50,$22.89,$114.43,No"
"ZYQ-15797-695,25-Feb-19,79436-73011-MM,R-D-0.5,5,Pammi Endacott,,United Kingdom,Rob,Robusta,D,Dark,0.50,$5.37,$26.85,Yes"
"EEJ-16185-108,09-Feb-19,65552-60476-KY,L-L-0.2,5,Nona Linklater,,United States,Lib,Liberica,L,Light,0.20,$4.76,$23.78,Yes"
"RWR-77888-800,07-Feb-20,69904-02729-YS,A-M-0.5,1,Annadiane Dykes,adykes1r@eventbrite.com,United States,Ara,Arabica,M,Medium,0.50,$6.75,$6.75,No"
"LHN-75209-742,23-Mar-20,01433-04270-AX,R-M-0.5,6,Felecia Dodgson,,United States,Rob,Robusta,M,Medium,0.50,$5.97,$35.82,Yes"
"TIR-71396-998,06-Mar-22,14204-14186-LA,R-D-2.5,4,Angelia Cockrem,acockrem1t@engadget.com,United States,Rob,Robusta,D,Dark,2.50,$20.59,$82.34,Yes"
"RXF-37618-213,15-Apr-22,32948-34398-HC,R-L-0.5,1,Belvia Umpleby,bumpleby1u@soundcloud.com,United States,Rob,Robusta,L,Light,0.50,$7.17,$7.17,Yes"
"ANM-16388-634,19-Nov-21,77343-52608-FF,L-L-0.2,2,Nat Saleway,nsaleway1v@dedecms.com,United States,Lib,Liberica,L,Light,0.20,$4.76,$9.51,No"
"WYL-29300-070,16-Oct-19,42770-36274-QA,R-M-0.2,1,Hayward Goulter,hgoulter1w@abc.net.au,United States,Rob,Robusta,M,Medium,0.20,$2.99,$2.99,No"
"JHW-74554-805,26-Nov-19,14103-58987-ZU,R-M-1,6,Gay Rizzello,grizzello1x@symantec.com,United Kingdom,Rob,Robusta,M,Medium,1.00,$9.95,$59.70,Yes"
"KYS-27063-603,30-Jun-19,69958-32065-SW,E-L-2.5,4,Shannon List,slist1y@mapquest.com,United States,Exc,Excelsa,L,Light,2.50,$34.16,$136.62,No"
"GAZ-58626-277,04-Jan-21,69533-84907-FA,L-L-0.2,2,Shirlene Edmondson,sedmondson1z@theguardian.com,Ireland,Lib,Liberica,L,Light,0.20,$4.76,$9.51,No"
"RPJ-37787-335,27-Oct-20,76005-95461-CI,A-M-2.5,3,Aurlie McCarl,,United States,Ara,Arabica,M,Medium,2.50,$25.88,$77.63,No"
"LEF-83057-763,15-Jun-21,15395-90855-VB,L-M-0.2,5,Alikee Carryer,,United States,Lib,Liberica,M,Medium,0.20,$4.37,$21.83,Yes"
"RPW-36123-215,19-Jul-21,80640-45811-LB,E-L-0.5,2,Jennifer Rangall,jrangall22@newsvine.com,United States,Exc,Excelsa,L,Light,0.50,$8.91,$17.82,Yes"
"WLL-59044-117,23-Jul-21,28476-04082-GR,R-D-1,6,Kipper Boorn,kboorn23@ezinearticles.com,Ireland,Rob,Robusta,D,Dark,1.00,$8.95,$53.70,Yes"
"AWT-22827-563,25-Jan-20,12018-75670-EU,R-L-0.2,1,Melania Beadle,,Ireland,Rob,Robusta,L,Light,0.20,$3.59,$3.59,Yes"
"QLM-07145-668,09-May-19,86437-17399-FK,E-D-0.2,2,Colene Elgey,celgey25@webs.com,United States,Exc,Excelsa,D,Dark,0.20,$3.65,$7.29,No"
"HVQ-64398-930,30-Mar-20,62979-53167-ML,A-M-0.5,6,Lothaire Mizzi,lmizzi26@rakuten.co.jp,United States,Ara,Arabica,M,Medium,0.50,$6.75,$40.50,Yes"
"WRT-40778-247,13-Mar-22,54810-81899-HL,R-L-1,4,Cletis Giacomazzo,cgiacomazzo27@jigsy.com,United States,Rob,Robusta,L,Light,1.00,$11.95,$47.80,No"
"SUB-13006-125,17-Apr-19,26103-41504-IB,A-L-0.5,5,Ami Arnow,aarnow28@arizona.edu,United States,Ara,Arabica,L,Light,0.50,$7.77,$38.85,Yes"
"CQM-49696-263,25-Oct-19,76534-45229-SG,L-L-2.5,3,Sheppard Yann,syann29@senate.gov,United States,Lib,Liberica,L,Light,2.50,$36.46,$109.37,Yes"
"KXN-85094-246,13-Sep-19,81744-27332-RR,L-M-2.5,3,Bunny Naulls,bnaulls2a@tiny.cc,Ireland,Lib,Liberica,M,Medium,2.50,$33.47,$100.40,Yes"
"XOQ-12405-419,12-Apr-20,91513-75657-PH,R-D-2.5,4,Hally Lorait,,United States,Rob,Robusta,D,Dark,2.50,$20.59,$82.34,Yes"
"HYF-10254-369,14-Nov-19,30373-66619-CB,L-L-0.5,1,Zaccaria Sherewood,zsherewood2c@apache.org,United States,Lib,Liberica,L,Light,0.50,$9.51,$9.51,No"
"XXJ-47000-307,18-Jul-19,31582-23562-FM,A-L-2.5,3,Jeffrey Dufaire,jdufaire2d@fc2.com,United States,Ara,Arabica,L,Light,2.50,$29.79,$89.36,No"
"XXJ-47000-307,18-Jul-19,31582-23562-FM,A-D-0.2,4,Jeffrey Dufaire,jdufaire2d@fc2.com,United States,Ara,Arabica,D,Dark,0.20,$2.99,$11.94,No"
"ZDK-82166-357,03-Apr-21,81431-12577-VD,A-M-1,3,Beitris Keaveney,bkeaveney2f@netlog.com,United States,Ara,Arabica,M,Medium,1.00,$11.25,$33.75,No"
"IHN-19982-362,29-Mar-21,68894-91205-MP,R-L-1,3,Elna Grise,egrise2g@cargocollective.com,United States,Rob,Robusta,L,Light,1.00,$11.95,$35.85,No"
"VMT-10030-889,15-Dec-21,87602-55754-VN,A-L-1,6,Torie Gottelier,tgottelier2h@vistaprint.com,United States,Ara,Arabica,L,Light,1.00,$12.95,$77.70,No"
"NHL-11063-100,20-May-20,39181-35745-WH,A-L-1,4,Loydie Langlais,,Ireland,Ara,Arabica,L,Light,1.00,$12.95,$51.80,Yes"
"ROV-87448-086,02-Nov-20,30381-64762-NG,A-M-2.5,4,Adham Greenhead,agreenhead2j@dailymail.co.uk,United States,Ara,Arabica,M,Medium,2.50,$25.88,$103.50,No"
"DGY-35773-612,25-Jul-20,17503-27693-ZH,E-L-1,3,Hamish MacSherry,,United States,Exc,Excelsa,L,Light,1.00,$14.85,$44.55,Yes"
"YWH-50638-556,14-Mar-19,89442-35633-HJ,E-L-0.5,4,Else Langcaster,elangcaster2l@spotify.com,United Kingdom,Exc,Excelsa,L,Light,0.50,$8.91,$35.64,Yes"
"ISL-11200-600,02-Jul-20,13654-85265-IL,A-D-0.2,6,Rudy Farquharson,,Ireland,Ara,Arabica,D,Dark,0.20,$2.99,$17.91,Yes"
"LBZ-75997-047,17-Dec-19,40946-22090-FP,A-M-2.5,6,Norene Magauran,nmagauran2n@51.la,United States,Ara,Arabica,M,Medium,2.50,$25.88,$155.25,No"
"EUH-08089-954,06-Dec-20,29050-93691-TS,A-D-0.2,2,Vicki Kirdsch,vkirdsch2o@google.fr,United States,Ara,Arabica,D,Dark,0.20,$2.99,$5.97,No"
"BLD-12227-251,04-Mar-21,64395-74865-WF,A-M-0.5,2,Ilysa Whapple,iwhapple2p@com.com,United States,Ara,Arabica,M,Medium,0.50,$6.75,$13.50,No"
"OPY-30711-853,17-Jul-21,81861-66046-SU,A-D-0.2,1,Ruy Cancellieri,,Ireland,Ara,Arabica,D,Dark,0.20,$2.99,$2.99,No"
"DBC-44122-300,04-Nov-20,13366-78506-KP,L-M-0.2,3,Aube Follett,,United States,Lib,Liberica,M,Medium,0.20,$4.37,$13.10,Yes"
"FJQ-60035-234,05-Apr-21,08847-29858-HN,A-L-0.2,2,Rudiger Di Bartolomeo,,United States,Ara,Arabica,L,Light,0.20,$3.89,$7.77,Yes"
"HSF-66926-425,01-Mar-20,00539-42510-RY,L-D-2.5,5,Nickey Youles,nyoules2t@reference.com,Ireland,Lib,Liberica,D,Dark,2.50,$29.79,$148.93,Yes"
"LQG-41416-375,19-Oct-21,45190-08727-NV,L-D-1,3,Dyanna Aizikovitz,daizikovitz2u@answers.com,Ireland,Lib,Liberica,D,Dark,1.00,$12.95,$38.85,Yes"
"VZO-97265-841,08-Jul-22,87049-37901-FU,R-M-0.2,4,Bram Revel,brevel2v@fastcompany.com,United States,Rob,Robusta,M,Medium,0.20,$2.99,$11.94,No"
"MOR-12987-399,17-Aug-19,34015-31593-JC,L-M-1,6,Emiline Priddis,epriddis2w@nationalgeographic.com,United States,Lib,Liberica,M,Medium,1.00,$14.55,$87.30,No"
"UOA-23786-489,31-May-20,90305-50099-SV,A-M-0.5,6,Queenie Veel,qveel2x@jugem.jp,United States,Ara,Arabica,M,Medium,0.50,$6.75,$40.50,Yes"
"AJL-52941-018,05-May-20,55871-61935-MF,E-D-1,2,Lind Conyers,lconyers2y@twitter.com,United States,Exc,Excelsa,D,Dark,1.00,$12.15,$24.30,No"
"XSZ-84273-421,14-Apr-19,15405-60469-TM,R-M-0.5,3,Pen Wye,pwye2z@dagondesign.com,United States,Rob,Robusta,M,Medium,0.50,$5.97,$17.91,Yes"
"NUN-48214-216,29-Jul-20,06953-94794-FB,A-M-0.5,4,Isahella Hagland,,United States,Ara,Arabica,M,Medium,0.50,$6.75,$27.00,No"
"AKV-93064-769,12-Dec-19,22305-40299-CY,L-D-0.5,1,Terry Sheryn,tsheryn31@mtv.com,United States,Lib,Liberica,D,Dark,0.50,$7.77,$7.77,Yes"
"BRB-40903-533,15-Jun-22,09020-56774-GU,E-L-0.2,3,Marie-jeanne Redgrave,mredgrave32@cargocollective.com,United States,Exc,Excelsa,L,Light,0.20,$4.46,$13.37,Yes"
"GPR-19973-483,26-Jun-19,92926-08470-YS,R-D-0.5,5,Betty Fominov,bfominov33@yale.edu,United States,Rob,Robusta,D,Dark,0.50,$5.37,$26.85,No"
"XIY-43041-882,12-Oct-21,07250-63194-JO,A-M-1,1,Shawnee Critchlow,scritchlow34@un.org,United States,Ara,Arabica,M,Medium,1.00,$11.25,$11.25,No"
"YGY-98425-969,01-Apr-19,63787-96257-TQ,L-M-1,1,Merrel Steptow,msteptow35@earthlink.net,Ireland,Lib,Liberica,M,Medium,1.00,$14.55,$14.55,No"
"MSB-08397-648,10-Mar-21,49530-25460-RW,R-L-0.2,4,Carmina Hubbuck,,United States,Rob,Robusta,L,Light,0.20,$3.59,$14.34,No"
"WDR-06028-345,16-Aug-19,66508-21373-OQ,L-L-1,1,Ingeberg Mulliner,imulliner37@pinterest.com,United Kingdom,Lib,Liberica,L,Light,1.00,$15.85,$15.85,No"
"MXM-42948-061,11-Aug-20,20203-03950-FY,L-L-0.2,4,Geneva Standley,gstandley38@dion.ne.jp,Ireland,Lib,Liberica,L,Light,0.20,$4.76,$19.02,Yes"
"MGQ-98961-173,05-Apr-22,83895-90735-XH,L-L-0.5,4,Brook Drage,bdrage39@youku.com,United States,Lib,Liberica,L,Light,0.50,$9.51,$38.04,No"
"RFH-64349-897,22-Oct-19,61954-61462-RJ,E-D-0.5,3,Muffin Yallop,myallop3a@fema.gov,United States,Exc,Excelsa,D,Dark,0.50,$7.29,$21.87,Yes"
"TKL-20738-660,02-Oct-21,47939-53158-LS,E-M-0.2,1,Cordi Switsur,cswitsur3b@chronoengine.com,United States,Exc,Excelsa,M,Medium,0.20,$4.13,$4.13,No"
"TKL-20738-660,02-Oct-21,47939-53158-LS,A-L-0.2,1,Cordi Switsur,cswitsur3b@chronoengine.com,United States,Ara,Arabica,L,Light,0.20,$3.89,$3.89,No"
"TKL-20738-660,02-Oct-21,47939-53158-LS,E-M-1,5,Cordi Switsur,cswitsur3b@chronoengine.com,United States,Exc,Excelsa,M,Medium,1.00,$13.75,$68.75,No"
"GOW-03198-575,13-Mar-21,61513-27752-FA,A-D-0.5,4,Mahala Ludwell,mludwell3e@blogger.com,United States,Ara,Arabica,D,Dark,0.50,$5.97,$23.88,Yes"
"QJB-90477-635,12-Jun-22,89714-19856-WX,L-L-2.5,4,Doll Beauchamp,dbeauchamp3f@usda.gov,United States,Lib,Liberica,L,Light,2.50,$36.46,$145.82,No"
"MWP-46239-785,27-Apr-19,87979-56781-YV,L-M-0.2,5,Stanford Rodliff,srodliff3g@ted.com,United States,Lib,Liberica,M,Medium,0.20,$4.37,$21.83,Yes"
"QDV-03406-248,23-May-19,74126-88836-KA,L-M-0.5,3,Stevana Woodham,swoodham3h@businesswire.com,Ireland,Lib,Liberica,M,Medium,0.50,$8.73,$26.19,Yes"
"GPH-40635-105,14-Jul-20,37397-05992-VO,A-M-1,1,Hewet Synnot,hsynnot3i@about.com,United States,Ara,Arabica,M,Medium,1.00,$11.25,$11.25,No"
"JOM-80930-071,10-Nov-21,54904-18397-UD,L-D-1,6,Raleigh Lepere,rlepere3j@shop-pro.jp,Ireland,Lib,Liberica,D,Dark,1.00,$12.95,$77.70,No"
"OIL-26493-755,31-Aug-21,19017-95853-EK,A-M-0.5,1,Timofei Woofinden,twoofinden3k@businesswire.com,United States,Ara,Arabica,M,Medium,0.50,$6.75,$6.75,No"
"CYV-13426-645,06-Jul-19,88593-59934-VU,E-D-1,1,Evelina Dacca,edacca3l@google.pl,United States,Exc,Excelsa,D,Dark,1.00,$12.15,$12.15,Yes"
"WRP-39846-614,04-Mar-22,47493-68564-YM,A-L-2.5,5,Bidget Tremellier,,Ireland,Ara,Arabica,L,Light,2.50,$29.79,$148.93,Yes"
"VDZ-76673-968,31-Dec-20,82246-82543-DW,E-D-0.5,2,Bobinette Hindsberg,bhindsberg3n@blogs.com,United States,Exc,Excelsa,D,Dark,0.50,$7.29,$14.58,Yes"
"VTV-03546-175,31-Jul-20,03384-62101-IY,A-L-2.5,5,Osbert Robins,orobins3o@salon.com,United States,Ara,Arabica,L,Light,2.50,$29.79,$148.93,Yes"
"GHR-72274-715,24-May-21,86881-41559-OR,L-D-1,1,Othello Syseland,osyseland3p@independent.co.uk,United States,Lib,Liberica,D,Dark,1.00,$12.95,$12.95,No"
"ZGK-97262-313,16-Jul-22,02536-18494-AQ,E-M-2.5,3,Ewell Hanby,,United States,Exc,Excelsa,M,Medium,2.50,$31.63,$94.88,Yes"
"ZFS-30776-804,05-Feb-21,58638-01029-CB,A-L-0.5,5,Blancha McAmish,bmcamish2e@tripadvisor.com,United States,Ara,Arabica,L,Light,0.50,$7.77,$38.85,Yes"
"QUU-91729-492,29-Jul-21,90312-11148-LA,A-D-0.2,4,Lowell Keenleyside,lkeenleyside3s@topsy.com,United States,Ara,Arabica,D,Dark,0.20,$2.99,$11.94,No"
"PVI-72795-960,17-Mar-22,68239-74809-TF,E-L-2.5,3,Elonore Joliffe,,Ireland,Exc,Excelsa,L,Light,2.50,$34.16,$102.47,No"
"PPP-78935-365,11-Feb-21,91074-60023-IP,E-D-1,4,Abraham Coleman,,United States,Exc,Excelsa,D,Dark,1.00,$12.15,$48.60,No"
"JUO-34131-517,13-Feb-19,07972-83748-JI,L-D-1,6,Rivy Farington,,United States,Lib,Liberica,D,Dark,1.00,$12.95,$77.70,Yes"
"ZJE-89333-489,13-May-22,08694-57330-XR,L-D-2.5,1,Vallie Kundt,vkundt3w@bigcartel.com,Ireland,Lib,Liberica,D,Dark,2.50,$29.79,$29.79,Yes"
"LOO-35324-159,19-May-20,68412-11126-YJ,A-L-0.2,4,Boyd Bett,bbett3x@google.de,United States,Ara,Arabica,L,Light,0.20,$3.89,$15.54,Yes"
"JBQ-93412-846,27-Apr-22,69037-66822-DW,E-L-2.5,4,Julio Armytage,,Ireland,Exc,Excelsa,L,Light,2.50,$34.16,$136.62,Yes"
"EHX-66333-637,09-Sep-20,01297-94364-XH,L-M-0.5,2,Deana Staite,dstaite3z@scientificamerican.com,United States,Lib,Liberica,M,Medium,0.50,$8.73,$17.46,No"
"WXG-25759-236,10-Mar-21,39919-06540-ZI,E-L-2.5,2,Winn Keyse,wkeyse40@apple.com,United States,Exc,Excelsa,L,Light,2.50,$34.16,$68.31,Yes"
"QNA-31113-984,07-Apr-19,60512-78550-WS,L-M-0.2,4,Osmund Clausen-Thue,oclausenthue41@marriott.com,United States,Lib,Liberica,M,Medium,0.20,$4.37,$17.46,No"
"ZWI-52029-159,12-Jul-20,40172-12000-AU,L-M-1,3,Leonore Francisco,lfrancisco42@fema.gov,United States,Lib,Liberica,M,Medium,1.00,$14.55,$43.65,No"
"ZWI-52029-159,12-Jul-20,40172-12000-AU,E-M-1,2,Leonore Francisco,lfrancisco42@fema.gov,United States,Exc,Excelsa,M,Medium,1.00,$13.75,$27.50,No"
